Condition,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Pneumonia,Pneumonia,Pneumonia,Pneumonia,Pneumonia,Pneumonia,Pneumonia,Pneumonia,Pneumonia,Pneumonia
P0DMV8,959110.0,605370.0,3568950.0,17441000.0,550450.0,24871000.0,19823000.0,3337100.0,1106300.0,6659600.0,5036200.0,1790200.0,697100.0,2742300.0,5150450.0,3129250.0,19397000.0,2201650.0,7128300.0,7857500.0
P0DOY3,24688000.0,2261000.0,3568950.0,283770000.0,36104000.0,102130000.0,34287000.0,3337100.0,1106300.0,44402000.0,5036200.0,3399300.0,3886500.0,5895800.0,2753400.0,3129250.0,41716000.0,2201650.0,13688000.0,25407000.0
P11142,7162000.0,3333300.0,3568950.0,30052000.0,822390.0,41421000.0,31991000.0,3337100.0,1106300.0,2591000.0,5966400.0,4719900.0,6120100.0,18553000.0,1860300.0,3129250.0,16296000.0,553970.0,14459000.0,45554000.0
P11684,5041100.0,9546000.0,3568950.0,11800000.0,7620050.0,24635000.0,10630000.0,3337100.0,1106300.0,7306200.0,5036200.0,3399300.0,3886500.0,6790050.0,9899600.0,3129250.0,239430000.0,2201650.0,18930000.0,12043000.0
P12273,14563000.0,9546000.0,3568950.0,11762000.0,5896600.0,5925800.0,15516000.0,3337100.0,1106300.0,4006200.0,5036200.0,3399300.0,3593100.0,39143000.0,5150450.0,3129250.0,7546000.0,2201650.0,6454400.0,3453800.0
P13639,365520.0,432400.0,3568950.0,10463000.0,7620050.0,15104000.0,1564200.0,3337100.0,1106300.0,6659600.0,1572300.0,3399300.0,4384800.0,2348200.0,580140.0,3129250.0,1552400.0,2201650.0,3175400.0,11415000.0
P13796,14291000.0,4289400.0,3568950.0,5449400.0,1053800.0,15811000.0,2331600.0,3337100.0,1106300.0,2212500.0,944840.0,3399300.0,891710.0,2011300.0,4111500.0,3129250.0,23595000.0,2201650.0,1839200.0,5073400.0
P14618,12136000.0,6833500.0,3568950.0,74552000.0,2379200.0,62886000.0,31774000.0,3337100.0,1106300.0,3046100.0,8857300.0,3197700.0,3793000.0,17676000.0,1799300.0,3129250.0,8402400.0,1428900.0,8527700.0,23719000.0
P14780,5020000.0,9440600.0,3568950.0,553530.0,7620050.0,24753000.0,10630000.0,3337100.0,1106300.0,7310700.0,5036200.0,3399300.0,3886500.0,6790050.0,1069200.0,3129250.0,4306600.0,2201650.0,383940.0,703830.0
P15311,1194700.0,1456200.0,3568950.0,12244000.0,456450.0,19101000.0,7365200.0,3337100.0,1106300.0,1753200.0,3924900.0,3399300.0,2784900.0,8671900.0,4622500.0,3129250.0,14865000.0,1289500.0,8549700.0,23140000.0
P17066,3970300.0,3006400.0,3568950.0,8242500.0,1719200.0,15881000.0,10132000.0,3337100.0,1106300.0,2673000.0,5036200.0,1326700.0,1687600.0,4784300.0,5150450.0,3129250.0,6371300.0,2201650.0,4864500.0,10586000.0
P20160,38294000.0,85885000.0,3568950.0,17423500.0,7818800.0,45558000.0,35278000.0,3406500.0,1106300.0,44559000.0,5036200.0,3399300.0,3886500.0,6790050.0,8544700.0,2361000.0,19367000.0,2201650.0,6629450.0,4217400.0
P22079,498210.0,611600.0,3568950.0,1077100.0,7620050.0,460710.0,384600.0,3337100.0,1106300.0,1453800.0,684460.0,3399300.0,876970.0,2321400.0,5150450.0,3129250.0,3853500.0,2201650.0,10242000.0,5620900.0
P23528,2031200.0,12644000.0,3568950.0,92360000.0,4554200.0,107110000.0,123460000.0,3337100.0,1106300.0,4354100.0,2311300.0,2890600.0,3886500.0,10430000.0,1485500.0,3129250.0,8417200.0,2201650.0,6081000.0,7149500.0
P24158,54381000.0,7009100.0,3568950.0,8984200.0,6674300.0,56136000.0,6216900.0,3337100.0,1106300.0,6659600.0,5036200.0,3399300.0,3886500.0,6790050.0,27419000.0,5786900.0,68907000.0,2201650.0,3361300.0,5925200.0
P25311,25608000.0,14299000.0,3568950.0,128340000.0,70913000.0,56703000.0,97546000.0,2554000.0,1106300.0,74961000.0,5036200.0,4049300.0,10226000.0,12142000.0,2291600.0,3129250.0,15281000.0,2201650.0,24649000.0,13169000.0
P26641,14563000.0,1246800.0,3568950.0,1550700.0,7620050.0,7436700.0,998940.0,3337100.0,1106300.0,6659600.0,1248500.0,3399300.0,1355700.0,2186400.0,9894300.0,779690.0,1810300.0,621950.0,1165200.0,5175200.0
P27797,2782800.0,1983500.0,3568950.0,17423500.0,7620050.0,3713800.0,1856200.0,3337100.0,1106300.0,6659600.0,1935900.0,2065000.0,2867200.0,6254800.0,7435500.0,3129250.0,4436000.0,2201650.0,7521800.0,17805000.0
P29401,30990000.0,9182800.0,3568950.0,12284000.0,794110.0,37270000.0,4066400.0,3337100.0,1106300.0,9292600.0,5036200.0,3399300.0,499280.0,1010400.0,22512000.0,309240.0,34225000.0,2201650.0,4177500.0,12717000.0
P29508,13367000.0,27344000.0,3568950.0,52581000.0,4446600.0,150300000.0,89623000.0,2531200.0,1956400.0,2184900.0,1906500.0,3399300.0,2095700.0,575100.0,5150450.0,3129250.0,19397000.0,2201650.0,6629450.0,3841600.0
P30740,10521000.0,6842900.0,3568950.0,9460600.0,3525400.0,21849000.0,5651100.0,3337100.0,1106300.0,7187600.0,4252900.0,8608600.0,12353000.0,41739000.0,36499000.0,7992200.0,26725000.0,8902100.0,45796000.0,120770000.0
P31146,14835000.0,9651400.0,1916900.0,3751000.0,2682200.0,19922000.0,4760500.0,2125600.0,1106300.0,5615600.0,5036200.0,3399300.0,3886500.0,6790050.0,1286300.0,140940.0,10458000.0,2201650.0,646250.0,5587600.0
P32119,14563000.0,2316500.0,3568950.0,10438000.0,7620050.0,24220000.0,19735000.0,3337100.0,1106300.0,6659600.0,2187800.0,877720.0,983510.0,7619400.0,5150450.0,3129250.0,3637100.0,2201650.0,1594200.0,4728500.0
P55072,14563000.0,331760.0,3568950.0,1142300.0,7620050.0,2627500.0,2154600.0,3337100.0,1106300.0,6659600.0,370700.0,3399300.0,831960.0,1478200.0,5150450.0,3129250.0,377120.0,2201650.0,349170.0,3191400.0
P59666,362230000.0,382050000.0,11467000.0,17423500.0,104370000.0,359420000.0,110260000.0,33877000.0,1106300.0,108690000.0,156400000.0,3399300.0,76945000.0,53576000.0,428610000.0,291060000.0,860290000.0,51750000.0,58196000.0,121740000.0
P60174,9693200.0,2202200.0,3568950.0,49352000.0,843970.0,67761000.0,61685000.0,3337100.0,1106300.0,6659600.0,2144100.0,3399300.0,3886500.0,6563600.0,5150450.0,3129250.0,1721700.0,2201650.0,1284300.0,15846000.0
P61626,32290000.0,68507000.0,3568950.0,61529000.0,27268000.0,3143300.0,69324000.0,2664400.0,2714500.0,35725000.0,5036200.0,3399300.0,12022000.0,6790050.0,5199400.0,3129250.0,19210000.0,2201650.0,1595100.0,1762700.0
P62258,1626200.0,9546000.0,3568950.0,5881600.0,7620050.0,17184000.0,10555000.0,3337100.0,1106300.0,6659600.0,3665900.0,3945800.0,1626300.0,13134000.0,5150450.0,3129250.0,19397000.0,2201650.0,8286400.0,15042000.0
P62937,6310300.0,4836200.0,3568950.0,23298000.0,7620050.0,27531000.0,23534000.0,3337100.0,1106300.0,3018000.0,2725000.0,3399300.0,3039600.0,5740900.0,3673600.0,3129250.0,3738600.0,2201650.0,6629450.0,4896800.0
P63104,15037000.0,10760000.0,2781000.0,77666000.0,10465000.0,85990000.0,78214000.0,1792600.0,2563000.0,6421400.0,45993000.0,21503000.0,32218000.0,91662000.0,9166100.0,3129250.0,33441000.0,12823000.0,61454000.0,110330000.0
P63261,14563000.0,2936300.0,325180.0,2830100.0,7620050.0,3846200.0,8014600.0,547250.0,190110.0,2606700.0,5036200.0,3399300.0,627540.0,4071900.0,5150450.0,3129250.0,10384000.0,446840.0,968710.0,10346000.0
P68363,3753000.0,9546000.0,3568950.0,34589000.0,7620050.0,31967000.0,10396000.0,3337100.0,1106300.0,6659600.0,19471000.0,1887400.0,18263000.0,11275000.0,2043600.0,1148000.0,24352000.0,2201650.0,14024000.0,32698000.0
P68431,82276000.0,103500000.0,3568950.0,53267000.0,17801000.0,70355000.0,96833000.0,3337100.0,1106300.0,28779000.0,62881000.0,13155000.0,39963000.0,64538000.0,132740000.0,35977000.0,296750000.0,19673000.0,59637000.0,140550000.0
P68871,65898000.0,67352000.0,3568950.0,81390000.0,97616000.0,255550000.0,9414700.0,2672300.0,1106300.0,6659600.0,5036200.0,3399300.0,3886500.0,6790050.0,6010900.0,3129250.0,243700000.0,2201650.0,23822000.0,16682000.0
P80723,3783200.0,9239000.0,5011100.0,2122800.0,1872100.0,8736500.0,6440700.0,1395500.0,793580.0,7487800.0,5036200.0,3399300.0,349470.0,6790050.0,646780.0,3129250.0,4159600.0,909550.0,896450.0,1209800.0
Q01469,12607000.0,12692000.0,3568950.0,166850000.0,7421300.0,215250000.0,318000000.0,3337100.0,1106300.0,3306400.0,26647000.0,3322900.0,12196000.0,14491000.0,2999900.0,3129250.0,19397000.0,2201650.0,6144900.0,5493600.0
Q01518,9193400.0,1685300.0,3568950.0,9906800.0,714070.0,18669000.0,6554100.0,3337100.0,1106300.0,977540.0,5036200.0,3399300.0,3886500.0,2442200.0,2059400.0,3129250.0,7716400.0,2201650.0,3610100.0,7130700.0
Q08380,6616600.0,3052100.0,3568950.0,13682000.0,10246000.0,5929700.0,3793000.0,3337100.0,1106300.0,7791000.0,5036200.0,3399300.0,3886500.0,9920300.0,1234000.0,3129250.0,2937500.0,2201650.0,5513000.0,12043000.0
Q15365,3131100.0,2395600.0,3568950.0,8413800.0,7620050.0,20468000.0,9957100.0,3337100.0,1106300.0,6659600.0,3100200.0,3399300.0,1392100.0,1758100.0,1410500.0,3129250.0,5360700.0,2201650.0,6629450.0,3918400.0
Q6P5S2,1016700.0,9546000.0,3568950.0,67493000.0,5993800.0,7336500.0,7167200.0,3337100.0,1106300.0,35720000.0,5036200.0,3399300.0,18783000.0,6790050.0,5150450.0,3129250.0,38520000.0,2201650.0,48723000.0,1116600.0
Q8N4F0,6420400.0,9546000.0,3568950.0,16080000.0,1821900.0,3222000.0,10630000.0,3337100.0,1106300.0,4314300.0,5036200.0,3399300.0,26468000.0,6790050.0,5150450.0,3129250.0,12873000.0,2201650.0,19271000.0,8579300.0
Q8TDL5,2708300.0,9546000.0,3568950.0,11360000.0,5903000.0,24753000.0,10630000.0,3337100.0,1106300.0,5879700.0,5036200.0,2658400.0,8115500.0,5062000.0,1344200.0,1079900.0,62193000.0,2201650.0,29677000.0,16519000.0
Q9H6R0,3235900.0,7257600.0,3568950.0,4926600.0,13722000.0,24753000.0,10630000.0,3660200.0,1106300.0,10096000.0,5036200.0,5320300.0,3886500.0,6790050.0,6422700.0,2454100.0,51442000.0,2201650.0,6629450.0,19740000.0
